Problem(N=Dim D=Problem),Median,Best,Worst,Mean,Sd,Restarts
CEC2017 N=1 D=30,0,0,0,0,0,0
CEC2017 N=2 D=30,0,0,0,0,0,0
CEC2017 N=3 D=30,3.98662385430094,0,67.8974198674794,25.1365456112009,29.2060581430277,0
CEC2017 N=4 D=30,744.206866961033,466.627021058071,1224.75448889907,747.818539374638,179.130325654613,0
CEC2017 N=5 D=30,97.8597451661742,71.2118228026284,123.34364830656,96.867393872477,12.1993655407725,0
CEC2017 N=6 D=30,3646.20514832509,69.5720042347032,6223.82802940973,3224.06196594909,1974.72307012252,0
CEC2017 N=7 D=30,589.994565510244,299.47928026795,991.943710093386,588.739116706638,162.015796561688,0
CEC2017 N=8 D=30,13788.9692016069,7999.76535830414,19076.0141669646,13209.6727145336,2779.76130194751,0
CEC2017 N=9 D=30,5441.19633897988,3834.83172631313,7069.26420946963,5330.32558147085,859.210315009943,0
CEC2017 N=10 D=30,183.076787158446,88.5506199450142,270.620527086023,184.576614477426,55.6317548132348,0
CEC2017 N=11 D=30,1606.00306054237,694.049753245152,2877.86821559242,1656.72127635379,597.693673929654,0
CEC2017 N=12 D=30,2325.52379017079,533.629805207025,3593.43516807079,2234.66517294182,778.943404185329,0
CEC2017 N=13 D=30,175.212451365087,91.6366395885918,300.503108460675,181.006344515618,60.741558846811,0
CEC2017 N=14 D=30,389.311820492248,77.2496915018669,653.162734238901,396.380144148651,124.091385054485,0
CEC2017 N=15 D=30,877.343731456315,277.47400080566,1532.49905119275,885.69125404486,364.528892558943,0
CEC2017 N=16 D=30,493.671304112373,119.302374115142,1337.97835002658,506.33704140946,262.371195965162,0
CEC2017 N=17 D=30,244.514867478347,131.439182675542,497.888618643082,257.035915542168,95.6244288641204,0
CEC2017 N=18 D=30,196.780286895255,54.3908025030594,375.135103380433,191.797769517859,76.109708551892,0
CEC2017 N=19 D=30,1419.06955987851,717.348168706599,1991.17109332085,1407.31539809342,375.126845254526,0
CEC2017 N=20 D=30,759.270229878602,240.996903688907,1160.32928229772,651.885902014007,304.069940346008,0
CEC2017 N=21 D=30,5913.60626716938,4651.68857310992,7892.53304528813,5914.88546804837,953.34750670069,0
CEC2017 N=22 D=30,2120.5128275381,1120.85110050769,3165.36414210233,2088.75913063621,559.15269417515,0
CEC2017 N=23 D=30,496.698356156996,100.000000000001,811.467421101289,489.119182737152,124.32244229067,0
CEC2017 N=24 D=30,387.091457908735,383.417708698969,398.931816852307,387.399054567575,2.70109392408628,0
CEC2017 N=25 D=30,1668.73657581882,200.000000000001,9062.83704925872,1550.83875630849,1750.13294567094,0
CEC2017 N=26 D=30,565.157757772887,512.0913198903,2012.74796599812,632.415084284502,291.374125667805,0
CEC2017 N=27 D=30,300.000000000001,300.000000000001,453.930242454262,356.42087483897,61.7382499830978,0
CEC2017 N=28 D=30,1019.22691533283,702.406812148003,1472.58216368125,1013.75751664132,228.941143742798,0
CEC2017 N=29 D=30,2509.46250039624,2164.85256642886,5575.09612290162,2603.42834783346,660.885308538419,0
Calculation time[hours]: 1.099297 ,,,,,,
