Problem(N=Dim D=Problem),Median,Best,Worst,Mean,Sd,Restarts
CEC2017 N=1 D=30,0,0,0,0,0,0
CEC2017 N=2 D=30,0,0,0,0,0,0
CEC2017 N=3 D=30,58.5615573023852,0,71.8889729096077,35.5467269750158,30.3891478889011,0
CEC2017 N=4 D=30,645.714313514909,338.280809071274,911.333308952913,646.060260673543,137.889127126372,0
CEC2017 N=5 D=30,89.7261102371757,61.5642033210895,116.605441210316,90.9207939580061,11.8215383598806,0
CEC2017 N=6 D=30,3433.90238736896,70.3639931311792,5490.11353566752,2772.10869063467,1643.24641073553,0
CEC2017 N=7 D=30,629.797328008087,258.11551987669,857.620371918105,615.334872002879,143.437396995495,0
CEC2017 N=8 D=30,14689.2646069315,8347.09994520743,28449.6087280689,14890.1460101309,4105.17006541714,0
CEC2017 N=9 D=30,5270.17073828591,3677.34548917161,7025.07689469136,5190.25968244703,672.7131208274,0
CEC2017 N=10 D=30,213.90667871967,121.391041047757,350.213394340418,212.563435972819,61.0389673990413,0
CEC2017 N=11 D=30,1666.26296641629,672.125195937273,2559.90586304655,1680.54831433225,438.153957677801,0
CEC2017 N=12 D=30,2673.11370385035,838.792533034736,4133.92544503697,2635.2401782276,886.850636974745,0
CEC2017 N=13 D=30,176.206605687713,98.6012038622653,421.353606817014,203.100358402989,76.7694342578616,0
CEC2017 N=14 D=30,369.444230207497,127.829313188017,682.02785252622,381.518625077691,162.630262011888,0
CEC2017 N=15 D=30,966.155415276906,419.378362372169,2285.86085756827,1016.09340808973,464.387647732107,0
CEC2017 N=16 D=30,297.084836035194,79.0462077067853,741.652932293719,362.515932726618,215.052484904766,0
CEC2017 N=17 D=30,186.082385462985,50.3617318011879,409.016837929924,217.322220728964,116.633349002647,0
CEC2017 N=18 D=30,166.463675809739,81.853332684005,354.748917191967,181.290865538748,73.286430128489,0
CEC2017 N=19 D=30,1473.79137338726,840.755677417812,2097.06735895121,1459.7395001752,298.053470925237,0
CEC2017 N=20 D=30,631.898628571122,233.79220925454,931.740097235005,515.407041723898,251.521706089665,0
CEC2017 N=21 D=30,6072.17394294382,4001.74503691673,8546.39108967786,6047.94998336172,993.446927381028,0
CEC2017 N=22 D=30,2008.07741008884,1252.52379605978,3996.99103833723,2200.02429491724,751.669650178524,0
CEC2017 N=23 D=30,488.414942639097,453.991206728613,1185.61671433072,540.282307357703,146.39901284485,0
CEC2017 N=24 D=30,387.008963774188,386.749519643514,399.239508373362,387.541286125755,2.44558020869489,0
CEC2017 N=25 D=30,1541.02521820635,200.000000000001,10531.0125106714,1648.73044786106,2035.139077755,0
CEC2017 N=26 D=30,568.390614116262,515.90784946143,4699.17110700259,982.663904025271,1012.54315005507,0
CEC2017 N=27 D=30,300.000000000001,300,451.711289945139,333.649198135902,56.1658221712825,0
CEC2017 N=28 D=30,1013.79464762598,671.467740616581,1653.09244829154,1071.23866686902,234.701840553553,0
CEC2017 N=29 D=30,2572.91325334389,2211.80437926353,3051.65302454857,2563.75211482347,235.249340599494,0
Calculation time[hours]: 1.09808 ,,,,,,
