Problem(N=Dim D=Problem),Median,Best,Worst,Mean,Sd,Restarts
CEC2017 N=1 D=30,0,0,0,0,0,0
CEC2017 N=2 D=30,0,0,0,0,0,0
CEC2017 N=3 D=30,58.5615573023852,0,64.117395013355,54.480564689244,15.8813983197479,0
CEC2017 N=4 D=30,6.96471339965308,1.98991811418659,12.9344677422129,7.20350357335544,2.83286818937396,0
CEC2017 N=5 D=30,0,0,0.0456303089316634,0.00278041721890531,0.0101223935688543,0
CEC2017 N=6 D=30,36.6433922844421,33.9917217576876,39.5698020308413,36.7093852442544,1.3907245784699,0
CEC2017 N=7 D=30,6.96471339965308,2.98487717127989,15.9193398756736,7.91987389294988,3.08651148819131,0
CEC2017 N=8 D=30,0,0,0,0,0,0
CEC2017 N=9 D=30,1973.08060281228,308.505363484746,3817.75168860041,1894.71987287829,898.267620184816,0
CEC2017 N=10 D=30,61.6871430632334,6.9714982760006,162.459101078237,78.6702966076892,43.1070093837322,0
CEC2017 N=11 D=30,1342.40437976237,677.511477181551,2153.30101628172,1342.11795484484,423.660282979257,0
CEC2017 N=12 D=30,94.9411818569956,5.29716991770147,232.464346419763,92.8337984366814,61.384072912284,0
CEC2017 N=13 D=30,133.424236086816,75.7140365025052,269.729934121204,138.039564534044,40.7622623164155,0
CEC2017 N=14 D=30,228.038202090655,122.49795800577,432.149560182741,244.598326558824,81.8249901915244,0
CEC2017 N=15 D=30,22.2034169648784,3.61022190987842,498.712672058461,115.698984043222,138.79269254229,0
CEC2017 N=16 D=30,62.7183187003268,33.9419838675967,196.790081080314,75.3883839453076,42.7708561026441,0
CEC2017 N=17 D=30,233.124443546797,97.0915152862588,327.440934133347,222.08685708337,71.3764547561936,0
CEC2017 N=18 D=30,97.1742467927979,27.8341297154498,143.046495761934,92.3758181706811,27.6336708033797,0
CEC2017 N=19 D=30,292.421888505137,53.3426646840435,1365.35215170973,368.138953894512,345.809475216802,0
CEC2017 N=20 D=30,208.869360059127,204.242529587622,223.780240019475,210.164765442507,4.39949452127297,0
CEC2017 N=21 D=30,100,100,3639.28528085966,1069.97647504055,1266.87508783804,0
CEC2017 N=22 D=30,361.818655668239,337.708048130045,374.321456438007,361.00818846287,9.28104130641431,0
CEC2017 N=23 D=30,423.022266737365,414.102560983352,434.996742221972,422.987611166627,5.02751088273734,0
CEC2017 N=24 D=30,386.745587231681,386.706875270026,386.806618714177,386.749770434848,0.0262792490179444,0
CEC2017 N=25 D=30,914.138043284523,756.042203209116,1108.21692846184,904.700989125048,69.948704362388,0
CEC2017 N=26 D=30,515.029390159893,494.855165842555,524.10291886865,514.130169315267,6.00373364548893,0
CEC2017 N=27 D=30,300,300,453.930242454262,344.622792947806,56.6028873262264,0
CEC2017 N=28 D=30,461.379675752875,430.663426271828,489.630348026464,460.631153116947,18.4033773981153,0
CEC2017 N=29 D=30,2127.12680449478,1958.84298699867,2590.46833711172,2169.86463322805,160.101016695262,0
Calculation time[hours]: 1.244007 ,,,,,,
