Problem(N=Dim D=Problem),Median,Best,Worst,Mean,Sd,Restarts
CEC2017 N=1 D=30,0,0,0,0,0,0
CEC2017 N=2 D=30,0,0,0,0,0,0
CEC2017 N=3 D=30,58.5615573023852,0,64.117395013355,57.1080290440449,12.0763313869497,0
CEC2017 N=4 D=30,7.95967245674638,4.97479528546648,11.9395086851195,8.15866426816502,2.05116064278028,0
CEC2017 N=5 D=30,0,0,0.0390781600897299,0.00156313891305217,0.00781562941190185,0
CEC2017 N=6 D=30,37.2100447816405,33.6588065988441,40.1353899205361,36.9829213504453,1.66407599050344,0
CEC2017 N=7 D=30,7.95967245674638,3.97983622837319,10.9445496280263,7.60148719619279,2.20393350567404,0
CEC2017 N=8 D=30,0,0,0,0,0,0
CEC2017 N=9 D=30,2267.26207316622,232.850745151978,3538.86167496831,1790.51662105193,1040.02854205401,0
CEC2017 N=10 D=30,93.5255693217907,28.8605521462432,145.545149139427,89.4678174468031,35.8332140960895,0
CEC2017 N=11 D=30,1356.25381438108,554.10868099111,2462.84627434643,1460.55522712364,490.30534218173,0
CEC2017 N=12 D=30,69.4229824448807,6.9742308062846,192.939685772363,78.5537645996893,62.1684496044865,0
CEC2017 N=13 D=30,126.458529963209,76.7124444084079,186.155746998793,122.239799683279,30.8528468969354,0
CEC2017 N=14 D=30,224.539044866687,109.307254575263,383.907722941552,237.779505831348,64.1825926732351,0
CEC2017 N=15 D=30,138.456515075778,3.49569086505744,497.580781066235,171.768413717812,135.010189948545,0
CEC2017 N=16 D=30,58.6266724173227,35.6311034111304,176.308049823759,63.3437253928516,28.4106153221718,0
CEC2017 N=17 D=30,222.846573607018,109.665995762719,458.028987565953,216.951045320163,73.6923773850566,0
CEC2017 N=18 D=30,105.316710437588,41.4499121334304,168.967339525598,106.741603647754,36.8679132009618,0
CEC2017 N=19 D=30,414.148365551211,31.9699425907882,1147.66226199713,413.029314795841,308.969257514714,0
CEC2017 N=20 D=30,210.736076276031,204.363060608155,219.416995466462,212.494439069805,4.74347018336644,0
CEC2017 N=21 D=30,100.000000000001,100,3324.23757975297,1103.61331632397,1327.66250682925,0
CEC2017 N=22 D=30,360.640392589384,347.195015860003,374.275485553748,358.903735798175,7.42224926632051,0
CEC2017 N=23 D=30,421.87875084556,408.821787127265,428.975297666014,421.132789120035,5.12850289193648,0
CEC2017 N=24 D=30,386.761053156259,386.706306840944,386.800011259094,386.75877112009,0.0224911823601622,0
CEC2017 N=25 D=30,880.818854516913,200.000000000004,1035.95828368894,860.908618655833,153.343122739308,0
CEC2017 N=26 D=30,516.612796277357,500.491344740734,534.778638905943,518.368088265794,9.42683709505075,0
CEC2017 N=27 D=30,300.000000000001,300,413.975165773641,351.71502373766,55.0628893694607,0
CEC2017 N=28 D=30,448.106395919158,422.965802211113,510.078879291485,453.95490831801,24.4022632850069,0
CEC2017 N=29 D=30,2146.05248173869,2002.71418027613,2465.4591958594,2186.53468508001,115.148648836065,0
Calculation time[hours]: 1.231067 ,,,,,,
